CO2 Emissions(g/km),Engine_Size_log,Fuel_City_log,Fuel_Hwy_log,Fuel_Comb_log,Cylinders_3,Cylinders_4,Cylinders_5,Cylinders_6,Cylinders_8,Cylinders_10,Cylinders_12,Cylinders_16
196,1.098612289,2.388762789,2.041220329,2.251291799,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
221,1.223775432,2.501435952,2.163323026,2.360854001,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
136,0.916290732,1.945910149,1.916922612,1.931521412,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
255,1.504077397,2.617395833,2.312535424,2.493205453,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
244,1.504077397,2.57261223,2.272125886,2.451005098,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
230,1.504077397,2.557227311,2.163323026,2.397895273,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
232,1.504077397,2.549445171,2.208274414,2.406945108,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
255,1.547562509,2.624668592,2.302585093,2.493205453,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
267,1.547562509,2.667228207,2.351375257,2.533696814,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
212,1.223775432,2.451005098,2.140066163,2.32238772,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
225,1.223775432,2.501435952,2.208274414,2.379546134,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
239,1.504077397,2.57261223,2.2300144,2.433613355,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
193,1.029619417,2.370243741,2.066862759,2.240709689,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
359,1.931521412,2.944438979,2.610069793,2.809402695,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
359,1.931521412,2.944438979,2.610069793,2.809402695,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
338,1.740466175,2.912350665,2.509599262,2.753660712,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
