mpg,cylinders_3,cylinders_4,cylinders_5,cylinders_6,cylinders_8,age,acceleration,log_weight,log_displacement,log_horsepower
18.0,0.0,0.0,0.0,0.0,1.0,23.0,12.0,8.161660452056282,5.726847747587197,4.867534450455582
15.0,0.0,0.0,0.0,0.0,1.0,23.0,11.5,8.214194414852564,5.857933154483459,5.10594547390058
18.0,0.0,0.0,0.0,0.0,1.0,23.0,11.0,8.142063283104147,5.762051382780177,5.0106352940962555
16.0,0.0,0.0,0.0,0.0,1.0,23.0,12.0,8.141189793457691,5.717027701406222,5.0106352940962555
17.0,0.0,0.0,0.0,0.0,1.0,23.0,10.5,8.145839612936841,5.71042701737487,4.941642422609304
15.0,0.0,0.0,0.0,0.0,1.0,23.0,10.0,8.375860015299594,6.061456918928017,5.288267030694535
14.0,0.0,0.0,0.0,0.0,1.0,23.0,9.455,8.378850241794492,6.118097198041348,5.393627546352362
14.0,0.0,0.0,0.0,0.0,1.0,23.0,9.455,8.369157112588834,6.0867747269123065,5.3706380281276624
14.0,0.0,0.0,0.0,0.0,1.0,23.0,10.0,8.39502555744203,6.12029741895095,5.395670911803946
15.0,0.0,0.0,0.0,0.0,1.0,23.0,9.455,8.25582842728183,5.966146739123692,5.247024072160486
15.0,0.0,0.0,0.0,0.0,1.0,23.0,10.0,8.178358165605836,5.948034989180646,5.135798437050262
14.0,0.0,0.0,0.0,0.0,1.0,23.0,9.455,8.19118600464279,5.8289456176102075,5.075173815233827
15.0,0.0,0.0,0.0,0.0,1.0,23.0,9.5,8.232440158470336,5.991464547107982,5.0106352940962555
14.0,0.0,0.0,0.0,0.0,1.0,23.0,10.0,8.034631032923107,6.12029741895095,5.395670911803946
24.0,0.0,1.0,0.0,0.0,0.0,23.0,15.0,7.771488760117616,4.727387818712341,4.553876891600541
22.0,0.0,0.0,0.0,1.0,0.0,23.0,15.5,7.949091499830517,5.288267030694535,4.553876891600541
18.0,0.0,0.0,0.0,1.0,0.0,23.0,15.5,7.928045600874777,5.293304824724492,4.574710978503383
21.0,0.0,0.0,0.0,1.0,0.0,23.0,16.0,7.8582541821860294,5.298317366548036,4.442651256490317
27.0,0.0,1.0,0.0,0.0,0.0,23.0,14.5,7.6638772587034705,4.574710978503383,4.477336814478207
26.0,0.0,1.0,0.0,0.0,0.0,23.0,20.5,7.51479976048867,4.574710978503383,3.871201010907891
25.0,0.0,1.0,0.0,0.0,0.0,23.0,17.5,7.890582534656536,4.700480365792417,4.465908118654584
24.0,0.0,1.0,0.0,0.0,0.0,23.0,14.5,7.795646536334594,4.672828834461906,4.499809670330265
25.0,0.0,1.0,0.0,0.0,0.0,23.0,17.5,7.772752716468742,4.6443908991413725,4.553876891600541
26.0,0.0,1.0,0.0,0.0,0.0,23.0,12.5,7.711548979629146,4.795790545596741,4.727387818712341
21.0,0.0,0.0,0.0,1.0,0.0,23.0,15.0,7.881559917056899,5.293304824724492,4.499809670330265
10.0,0.0,0.0,0.0,0.0,1.0,23.0,14.0,8.437067146936952,5.886104031450156,5.3706380281276624
10.0,0.0,0.0,0.0,0.0,1.0,23.0,15.0,8.383890344101816,5.726847747587197,5.298317366548036
11.0,0.0,0.0,0.0,0.0,1.0,23.0,13.5,8.385260520155413,5.762051382780177,5.3471075307174685
9.0,0.0,0.0,0.0,0.0,1.0,23.0,18.5,8.462103225098277,5.717027701406222,5.262690188904886
27.0,0.0,1.0,0.0,0.0,0.0,22.0,14.5,7.6638772587034705,4.574710978503383,4.477336814478207
28.0,0.0,1.0,0.0,0.0,0.0,22.0,15.5,7.724888439323074,4.941642422609304,4.499809670330265
25.0,0.0,1.0,0.0,0.0,0.0,22.0,14.0,7.708859601047175,4.727387818712341,4.553876891600541
19.0,0.0,0.0,0.0,1.0,0.0,22.0,13.0,7.876258882303226,5.44673737166631,4.605170185988092
16.0,0.0,0.0,0.0,1.0,0.0,22.0,15.5,8.142936010432265,5.41610040220442,4.653960350157523
17.0,0.0,0.0,0.0,1.0,0.0,22.0,15.5,8.110427237575024,5.521460917862246,4.605170185988092
19.0,0.0,0.0,0.0,1.0,0.0,22.0,15.5,8.102283624480073,5.521460917862246,4.477336814478207
18.0,0.0,0.0,0.0,1.0,0.0,22.0,15.5,8.098034756176071,5.44673737166631,4.605170185988092
14.0,0.0,0.0,0.0,0.0,1.0,22.0,12.0,8.344980368770571,5.857933154483459,5.10594547390058
14.0,0.0,0.0,0.0,0.0,1.0,22.0,11.5,8.403800504061147,5.991464547107982,5.1647859739235145
