CO2 Emissions(g/km),Engine_Size_log,Fuel_City_log,Fuel_Hwy_log,Fuel_Comb_log,Cylinders_3,Cylinders_4,Cylinders_5,Cylinders_6,Cylinders_8,Cylinders_10,Cylinders_12,Cylinders_16
283,1.5260563034950492,2.727852828,2.388762789235098,2.5877640352277083,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
290,1.5260563034950492,2.747270914255491,2.4159137783010487,2.6100697927420065,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
196,0.8754687373538999,2.3513752571634776,2.1041341542702074,2.2512917986064953,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
212,0.8754687373538999,2.4159137783010487,2.1972245773362196,2.322387720290225,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
264,1.5260563034950492,2.6878474937846906,2.272125885509337,2.5257286443082556,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
264,1.5260563034950492,2.6878474937846906,2.2925347571405443,2.5257286443082556,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
189,1.2237754316221157,2.3608540011180215,2.0149030205422647,2.2192034840549946,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
189,1.2237754316221157,2.3608540011180215,2.0149030205422647,2.2192034840549946,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
218,1.2237754316221157,2.509599262378372,2.128231705849268,2.3513752571634776,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
207,1.252762968495368,2.4423470353692043,2.1041341542702074,2.302585092994046,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
251,1.5260563034950492,2.624668592163159,2.2512917986064953,2.4765384001174837,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
260,1.5260563034950492,2.6461747973841225,2.302585092994046,2.509599262378372,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
258,1.5260563034950492,2.653241964607215,2.272125885509337,2.501435951739211,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
262,1.5260563034950492,2.6602595372658615,2.302585092994046,2.517696472610991,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
248,1.5260563034950492,2.631888840136646,2.2192034840549946,2.468099531471619,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
260,1.5260563034950492,2.6461747973841225,2.302585092994046,2.509599262378372,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
253,1.3862943611198906,2.617395832834079,2.2925347571405443,2.4849066497880004,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
260,1.5260563034950492,2.6602595372658615,2.2925347571405443,2.509599262378372,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
255,1.3862943611198906,2.624668592163159,2.312535423847214,2.4932054526026954,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
262,1.5260563034950492,2.6602595372658615,2.302585092994046,2.517696472610991,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
283,1.5260563034950492,2.727852828,2.379546134130174,2.5877640352277083,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
294,1.5260563034950492,2.760009940032921,2.4336133554004498,2.624668592163159,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
262,1.5260563034950492,2.681021528714291,2.2617630984737906,2.517696472610991,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
271,1.5260563034950492,2.708050201,2.312535423847214,2.5494451709255714,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
258,1.5260563034950492,2.653241964607215,2.272125885509337,2.501435951739211,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
269,1.5260563034950492,2.7212954278522306,2.2617630984737906,2.5416019934645457,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
242,1.5260563034950492,2.617395832834079,2.186051276738094,2.4423470353692043,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
179,0.8754687373538999,2.312535423847214,1.9878743481543455,2.174751721484161,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
179,0.8754687373538999,2.312535423847214,1.9878743481543455,2.174751721484161,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
202,1.0296194171811581,2.4423470353692043,2.0412203288596382,2.2823823856765264,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
189,1.0296194171811581,2.3513752571634776,2.0149030205422647,2.2192034840549946,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
177,0.8754687373538999,2.312535423847214,1.9459101490553132,2.163323025660538,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
163,0.8754687373538999,2.2407096892759584,1.8870696490323797,2.0918640616783932,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
209,1.2237754316221157,2.4423470353692043,2.1162555148025524,2.312535423847214,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
276,1.5260563034950492,2.7013612129514133,2.3608540011180215,2.5649493574615367,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
230,1.2237754316221157,2.5257286443082556,2.2192034840549946,2.3978952727983707,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
290,1.5260563034950492,2.760009940032921,2.388762789235098,2.6100697927420065,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
347,1.667706820558076,2.895911938,2.617395832834079,2.7788192719904172,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
366,1.840549633397487,2.9444389791664403,2.667228206581955,2.8273136219290276,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
380,1.840549633397487,2.9601050959108397,2.7212954278522306,2.8622008809294686,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
380,1.840549633397487,2.975529566236472,2.7013612129514133,2.8622008809294686,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
380,1.840549633397487,2.9601050959108397,2.7212954278522306,2.8622008809294686,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
380,1.840549633397487,2.975529566236472,2.7013612129514133,2.8622008809294686,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
380,1.840549633397487,2.9601050959108397,2.7212954278522306,2.8622008809294686,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
414,1.7578579175523736,3.095577608523707,2.7212954278522306,2.9444389791664403,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
