iteration,cost,bias
100,23124.252837513057,19.897436395955868
200,19247.574167087445,38.75063265120205
300,15882.585616309154,56.72586399418001
400,12983.611425380583,73.81177283336017
500,10506.780529317106,89.99651042356163
600,8409.867872691419,105.26826551646653
700,6652.32940162191,119.61589325424407
800,5195.379117217908,133.0296620646582
900,4002.103517506293,145.502117690376
1000,3037.6088864867165,157.02904926677027
1500,589.7767995188293,200.69032733669243
2000,67.41897949485362,223.55869255185075
2500,8.111336312636249,232.3281290827013
3000,4.338833245139897,234.56736341399935
3500,3.7428780017539305,234.91005818572265
4000,2.6707866192564835,234.93750045425256
4500,3.0041909296420224,234.93845565268091
5000,3.0905478353613334,234.9384667971943
5500,3.219958063003315,234.9384668270781
6000,2.676128170303298,234.93846682708784
6500,2.6445529200065634,234.9384668270879
7000,2.6361962375558474,234.938466827088
7500,2.6520939843015543,234.9384668270881
8000,3.2851671325381795,234.93846682708818
