iteration,cost,bias
100,23124.25280885663,19.897436395955875
200,19247.57411710732,38.750632651202054
300,15882.585607911748,56.72586399418002
400,12983.611379272035,73.81177283336018
500,10506.780456766694,89.99651042356163
600,8409.867789071455,105.26826551646653
700,6652.329319015963,119.61589325424407
800,5195.379043722128,133.0296620646582
900,4002.1034558135166,145.502117690376
1000,3037.608824454364,157.0290492667703
1500,589.3486461697482,200.69032733669243
2000,67.46169220577283,223.55869255185075
2500,6.054397782770868,232.3281290827013
3000,14.139932913562605,234.56736341399935
3500,2.6403733835407093,234.91005818572265
4000,2.637750787686704,234.93750045425256
4500,2.74418719658605,234.9384556526809
