CO2 Emissions(g/km),Engine_Size_log,Fuel_City_log,Fuel_Hwy_log,Fuel_Comb_log,Cylinders_3,Cylinders_4,Cylinders_5,Cylinders_6,Cylinders_8,Cylinders_10,Cylinders_12,Cylinders_16
217,1.3862943611198906,2.379546134130174,1.9740810260220096,2.2082744135228043,0,0,0,1,0,0,0,0
217,1.3862943611198906,2.379546134130174,1.9740810260220096,2.2082744135228043,0,0,0,1,0,0,0,0
224,1.3862943611198906,2.379546134130174,2.0149030205422647,2.2407096892759584,0,0,0,1,0,0,0,0
224,1.3862943611198906,2.379546134130174,2.0149030205422647,2.2407096892759584,0,0,0,1,0,0,0,0
244,1.3862943611198906,2.4159137783010487,2.174751721484161,2.302585092994046,0,0,0,1,0,0,0,0
290,1.3862943611198906,2.5952547069568657,2.272125885509337,2.4595888418037104,0,0,0,1,0,0,0,0
181,1.0986122886681098,2.151762203259462,1.8718021769015916,2.0412203288596382,0,1,0,0,0,0,0,0
181,1.0986122886681098,2.151762203259462,1.8718021769015916,2.0412203288596382,0,1,0,0,0,0,0,0
213,1.3862943611198906,2.322387720290225,2.0014800002101243,2.186051276738094,0,0,0,1,0,0,0,0
192,1.0986122886681098,2.272125885509337,1.8082887711792652,2.091864061678393,0,1,0,0,0,0,0,0
267,1.3862943611198906,2.501435951739211,2.2407096892759584,2.388762789235098,0,0,0,1,0,0,0,0
194,1.1314021114911006,2.2512917986064958,1.9021075263969205,2.1041341542702074,0,1,0,0,0,0,0,0
324,1.3862943611198906,2.667228206581955,2.4159137783010487,2.5649493574615367,0,0,0,1,0,0,0,0
230,1.1314021114911006,2.360854001118021,2.091864061678393,2.2512917986064958,0,1,0,0,0,0,0,0
278,1.3862943611198906,2.5494451709255714,2.2512917986064958,2.424802725718295,0,0,0,1,0,0,0,0
277,1.3862943611198906,2.5494451709255714,2.2082744135228043,2.4159137783010487,0,0,0,1,0,0,0,0
286,1.3862943611198906,2.5726122302071057,2.2823823856765264,2.451005098112319,0,0,0,1,0,0,0,0
275,1.3862943611198906,2.533696813957432,2.2407096892759584,2.4159137783010487,0,0,0,1,0,0,0,0
200,1.0986122886681098,2.2407096892759584,1.9315214116032136,2.128231705849268,0,1,0,0,0,0,0,0
208,1.0986122886681098,2.2823823856765264,1.9600947840472696,2.163323025660538,0,1,0,0,0,0,0,0
198,1.0986122886681098,2.2082744135228043,2.0014800002101243,2.128231705849268,0,1,0,0,0,0,0,0
196,1.0986122886681098,2.2300144001592104,1.9459101490553128,2.1162555148025524,0,1,0,0,0,0,0,0
198,1.0986122886681098,2.2082744135228043,2.0014800002101243,2.128231705849268,0,1,0,0,0,0,0,0
196,1.0986122886681098,2.2300144001592104,1.9459101490553128,2.1162555148025524,0,1,0,0,0,0,0,0
180,1.0986122886681098,2.174751721484161,1.9315214116032136,2.066862759472976,0,1,0,0,0,0,0,0
277,1.3862943611198906,2.5494451709255714,2.2082744135228043,2.4159137783010487,0,0,0,1,0,0,0,0
177,1.0986122886681098,2.151762203259462,1.8718021769015916,2.0149030205422647,0,1,0,0,0,0,0,0
217,1.3862943611198906,2.379546134130174,1.9740810260220096,2.2082744135228043,0,0,0,1,0,0,0,0
217,1.3862943611198906,2.379546134130174,1.9740810260220096,2.2082744135228043,0,0,0,1,0,0,0,0
224,1.3862943611198906,2.379546134130174,2.0149030205422647,2.2407096892759584,0,0,0,1,0,0,0,0
224,1.3862943611198906,2.379546134130174,2.0149030205422647,2.2407096892759584,0,0,0,1,0,0,0,0
244,1.3862943611198906,2.4159137783010487,2.174751721484161,2.302585092994046,0,0,0,1,0,0,0,0
290,1.3862943611198906,2.5952547069568657,2.272125885509337,2.4595888418037104,0,0,0,1,0,0,0,0
181,1.0986122886681098,2.151762203259462,1.8718021769015916,2.0412203288596382,0,1,0,0,0,0,0,0
181,1.0986122886681098,2.151762203259462,1.8718021769015916,2.0412203288596382,0,1,0,0,0,0,0,0
213,1.3862943611198906,2.322387720290225,1.9878743481543453,2.186051276738094,0,0,0,1,0,0,0,0
238,1.3862943611198906,2.4159137783010487,2.091864061678393,2.2823823856765264,0,0,0,1,0,0,0,0
213,1.0986122886681098,2.26176309847379,2.066862759472976,2.186051276738094,0,1,0,0,0,0,0,0
235,1.3862943611198906,2.388762789235098,2.1041341542702074,2.272125885509337,0,0,0,1,0,0,0,0
192,1.0986122886681098,2.272125885509337,1.8082887711792652,2.091864061678393,0,1,0,0,0,0,0,0
267,1.3862943611198906,2.501435951739211,2.2407096892759584,2.388762789235098,0,0,0,1,0,0,0,0
200,1.1314021114911006,2.26176309847379,1.9315214116032136,2.128231705849268,0,1,0,0,0,0,0,0
324,1.3862943611198906,2.681021528714291,2.3978952727983707,2.5649493574615367,0,0,0,1,0,0,0,0
230,1.1314021114911006,2.360854001118021,2.079441541679836,2.2512917986064958,0,1,0,0,0,0,0,0
278,1.3862943611198906,2.5494451709255714,2.2512917986064958,2.424802725718295,0,0,0,1,0,0,0,0
