CO2 Emissions(g/km),Engine_Size_log,Fuel_City_log,Fuel_Hwy_log,Fuel_Comb_log,Cylinders_3,Cylinders_4,Cylinders_5,Cylinders_6,Cylinders_8,Cylinders_10,Cylinders_12,Cylinders_16
283,1.5260563034950492,2.727852828,2.388762789235098,2.5877640352277083,0,0,0,1,0,0,0,0
290,1.5260563034950492,2.747270914255491,2.4159137783010487,2.6100697927420065,0,0,0,1,0,0,0,0
196,0.8754687373538999,2.3513752571634776,2.1041341542702074,2.2512917986064958,0,1,0,0,0,0,0,0
212,0.8754687373538999,2.4159137783010487,2.19722457733622,2.322387720290225,0,1,0,0,0,0,0,0
264,1.5260563034950492,2.6878474937846906,2.272125885509337,2.525728644308256,0,0,0,1,0,0,0,0
264,1.5260563034950492,2.6878474937846906,2.2925347571405443,2.525728644308256,0,0,0,1,0,0,0,0
189,1.2237754316221157,2.360854001118021,2.0149030205422647,2.2192034840549946,0,1,0,0,0,0,0,0
189,1.2237754316221157,2.360854001118021,2.0149030205422647,2.2192034840549946,0,1,0,0,0,0,0,0
218,1.2237754316221157,2.509599262378372,2.128231705849268,2.3513752571634776,0,1,0,0,0,0,0,0
207,1.252762968495368,2.4423470353692043,2.1041341542702074,2.302585092994046,0,1,0,0,0,0,0,0
251,1.5260563034950492,2.624668592163159,2.2512917986064958,2.476538400117484,0,0,0,1,0,0,0,0
260,1.5260563034950492,2.6461747973841225,2.302585092994046,2.509599262378372,0,0,0,1,0,0,0,0
258,1.5260563034950492,2.653241964607215,2.272125885509337,2.501435951739211,0,0,0,1,0,0,0,0
262,1.5260563034950492,2.660259537265861,2.302585092994046,2.517696472610991,0,0,0,1,0,0,0,0
248,1.5260563034950492,2.631888840136646,2.2192034840549946,2.468099531471619,0,0,0,1,0,0,0,0
260,1.5260563034950492,2.6461747973841225,2.302585092994046,2.509599262378372,0,0,0,1,0,0,0,0
253,1.3862943611198906,2.617395832834079,2.2925347571405443,2.4849066497880004,0,0,0,1,0,0,0,0
260,1.5260563034950492,2.660259537265861,2.2925347571405443,2.509599262378372,0,0,0,1,0,0,0,0
255,1.3862943611198906,2.624668592163159,2.312535423847214,2.4932054526026954,0,0,0,1,0,0,0,0
262,1.5260563034950492,2.660259537265861,2.302585092994046,2.517696472610991,0,0,0,1,0,0,0,0
283,1.5260563034950492,2.727852828,2.379546134130174,2.5877640352277083,0,0,0,1,0,0,0,0
294,1.5260563034950492,2.760009940032921,2.4336133554004498,2.624668592163159,0,0,0,1,0,0,0,0
262,1.5260563034950492,2.681021528714291,2.26176309847379,2.517696472610991,0,0,0,1,0,0,0,0
271,1.5260563034950492,2.708050201,2.312535423847214,2.5494451709255714,0,0,0,1,0,0,0,0
