CO2 Emissions(g/km),Engine_Size_log,Fuel_City_log,Fuel_Hwy_log,Fuel_Comb_log,Cylinders_3,Cylinders_4,Cylinders_5,Cylinders_6,Cylinders_8,Cylinders_10,Cylinders_12,Cylinders_16
196,1.098612289,2.388762789,2.041220329,2.251291799,0,1,0,0,0,0,0,0
221,1.223775432,2.501435952,2.163323026,2.360854001,0,1,0,0,0,0,0,0
136,0.916290732,1.945910149,1.916922612,1.931521412,0,1,0,0,0,0,0,0
255,1.504077397,2.617395833,2.312535424,2.493205453,0,0,0,1,0,0,0,0
244,1.504077397,2.57261223,2.272125886,2.451005098,0,0,0,1,0,0,0,0
230,1.504077397,2.557227311,2.163323026,2.397895273,0,0,0,1,0,0,0,0
232,1.504077397,2.549445171,2.208274414,2.406945108,0,0,0,1,0,0,0,0
255,1.547562509,2.624668592,2.302585093,2.493205453,0,0,0,1,0,0,0,0
267,1.547562509,2.667228207,2.351375257,2.533696814,0,0,0,1,0,0,0,0
212,1.223775432,2.451005098,2.140066163,2.32238772,0,1,0,0,0,0,0,0
225,1.223775432,2.501435952,2.208274414,2.379546134,0,1,0,0,0,0,0,0
239,1.504077397,2.57261223,2.2300144,2.433613355,0,0,0,1,0,0,0,0
193,1.029619417,2.370243741,2.066862759,2.240709689,0,1,0,0,0,0,0,0
359,1.931521412,2.944438979,2.610069793,2.809402695,0,0,0,0,0,0,1,0
359,1.931521412,2.944438979,2.610069793,2.809402695,0,0,0,0,0,0,1,0
338,1.740466175,2.912350665,2.509599262,2.753660712,0,0,0,0,1,0,0,0
354,1.740466175,2.949688335,2.58021683,2.797281335,0,0,0,0,1,0,0,0
338,1.740466175,2.912350665,2.509599262,2.753660712,0,0,0,0,1,0,0,0
354,1.740466175,2.949688335,2.58021683,2.797281335,0,0,0,0,1,0,0,0
359,1.931521412,2.944438979,2.610069793,2.809402695,0,0,0,0,0,0,1,0
202,1.098612289,2.388762789,2.128231706,2.282382386,0,1,0,0,0,0,0,0
230,1.098612289,2.525728644,2.208274414,2.397895273,0,1,0,0,0,0,0,0
214,1.098612289,2.468099531,2.140066163,2.332143895,0,1,0,0,0,0,0,0
230,1.098612289,2.525728644,2.208274414,2.397895273,0,1,0,0,0,0,0,0
230,1.098612289,2.525728644,2.208274414,2.397895273,0,1,0,0,0,0,0,0
214,1.098612289,2.468099531,2.140066163,2.332143895,0,1,0,0,0,0,0,0
235,1.098612289,2.564949357,2.208274414,2.415913778,0,1,0,0,0,0,0,0
251,1.386294361,2.624668592,2.261763098,2.4765384,0,0,0,1,0,0,0,0
262,1.386294361,2.660259537,2.251291799,2.501435952,0,0,0,1,0,0,0,0
258,1.386294361,2.646174797,2.282382386,2.501435952,0,0,0,1,0,0,0,0
265,1.609437912,2.687847494,2.2300144,2.509599262,0,0,0,0,1,0,0,0
258,1.386294361,2.646174797,2.282382386,2.501435952,0,0,0,1,0,0,0,0
288,1.609437912,2.753660712,2.370243741,2.602689685,0,0,0,0,1,0,0,0
363,1.987874348,2.980618636,2.525728644,2.803360381,0,0,0,0,0,0,1,0
242,1.098612289,2.549445171,2.282382386,2.442347035,0,1,0,0,0,0,0,0
239,1.098612289,2.564949357,2.251291799,2.433613355,0,1,0,0,0,0,0,0
258,1.386294361,2.63188884,2.32238772,2.501435952,0,0,0,1,0,0,0,0
212,1.098612289,2.388762789,2.2300144,2.32238772,0,1,0,0,0,0,0,0
304,1.386294361,2.778819272,2.4765384,2.653241965,0,0,0,1,0,0,0,0
336,1.648658626,2.923161581,2.48490665,2.747270914,0,0,0,0,1,0,0,0
407,1.648658626,3.100092289,2.667228207,2.928523524,0,0,0,0,1,0,0,0
347,1.824549292,2.954910279,2.451005098,2.76000994,0,0,0,0,0,1,0,0
409,1.824549292,3.095577609,2.694627181,2.93385687,0,0,0,0,0,1,0,0
336,1.648658626,2.923161581,2.48490665,2.747270914,0,0,0,0,1,0,0,0
407,1.648658626,3.100092289,2.667228207,2.928523524,0,0,0,0,1,0,0,0
347,1.824549292,2.954910279,2.451005098,2.76000994,0,0,0,0,0,1,0,0
409,1.824549292,3.095577609,2.694627181,2.93385687,0,0,0,0,0,1,0,0
306,1.648658626,2.791165108,2.4765384,2.660259537,0,0,0,0,1,0,0,0
308,1.648658626,2.785011242,2.509599262,2.667228207,0,0,0,0,1,0,0,0
293,1.609437912,2.803360381,2.282382386,2.602689685,0,0,0,0,1,0,0,0
262,1.386294361,2.653241965,2.32238772,2.517696473,0,0,0,1,0,0,0,0
285,1.386294361,2.747270914,2.379546134,2.595254707,0,0,0,1,0,0,0,0
262,1.386294361,2.653241965,2.32238772,2.517696473,0,0,0,1,0,0,0,0
285,1.386294361,2.747270914,2.379546134,2.595254707,0,0,0,1,0,0,0,0
267,1.386294361,2.660259537,2.351375257,2.533696814,0,0,0,1,0,0,0,0
281,1.609437912,2.721295428,2.370243741,2.58021683,0,0,0,0,1,0,0,0
281,1.609437912,2.721295428,2.370243741,2.58021683,0,0,0,0,1,0,0,0
300,1.609437912,2.821378886,2.32238772,2.624668592,0,0,0,0,1,0,0,0
292,1.386294361,2.766319109,2.406945108,2.617395833,0,0,0,1,0,0,0,0
209,1.098612289,2.433613355,2.151762203,2.312535424,0,1,0,0,0,0,0,0
209,1.098612289,2.433613355,2.151762203,2.312535424,0,1,0,0,0,0,0,0
237,1.098612289,2.525728644,2.282382386,2.424802726,0,1,0,0,0,0,0,0
237,1.098612289,2.525728644,2.282382386,2.424802726,0,1,0,0,0,0,0,0
314,1.609437912,2.850706502,2.379546134,2.667228207,0,0,0,0,1,0,0,0
356,1.945910149,2.985681938,2.525728644,2.803360381,0,0,0,0,0,0,1,0
332,1.609437912,2.912350665,2.415913778,2.721295428,0,0,0,0,1,0,0,0
380,1.945910149,3.044522438,2.58021683,2.862200881,0,0,0,0,0,0,1,0
380,1.945910149,3.044522438,2.58021683,2.862200881,0,0,0,0,0,0,1,0
388,1.945910149,3.058707073,2.557227311,2.862200881,0,0,0,0,0,0,1,0
437,2.054123734,3.148453361,2.766319109,2.995732274,0,0,0,0,1,0,0,0
193,1.098612289,2.397895273,2.014903021,2.240709689,0,1,0,0,0,0,0,0
200,1.098612289,2.433613355,2.041220329,2.272125886,0,1,0,0,0,0,0,0
202,1.098612289,2.415913778,2.079441542,2.282382386,0,1,0,0,0,0,0,0
193,1.098612289,2.397895273,2.014903021,2.240709689,0,1,0,0,0,0,0,0
200,1.098612289,2.433613355,2.041220329,2.272125886,0,1,0,0,0,0,0,0
209,1.098612289,2.451005098,2.104134154,2.312535424,0,1,0,0,0,0,0,0
209,1.098612289,2.451005098,2.104134154,2.312535424,0,1,0,0,0,0,0,0
209,1.098612289,2.451005098,2.104134154,2.312535424,0,1,0,0,0,0,0,0
221,1.386294361,2.517696473,2.116255515,2.360854001,0,0,0,1,0,0,0,0
230,1.386294361,2.549445171,2.186051277,2.397895273,0,0,0,1,0,0,0,0
228,1.386294361,2.541601993,2.174751721,2.388762789,0,0,0,1,0,0,0,0
237,1.386294361,2.557227311,2.2300144,2.424802726,0,0,0,1,0,0,0,0
232,1.386294361,2.557227311,2.197224577,2.406945108,0,0,0,1,0,0,0,0
193,1.098612289,2.397895273,2.014903021,2.240709689,0,1,0,0,0,0,0,0
200,1.098612289,2.433613355,2.041220329,2.272125886,0,1,0,0,0,0,0,0
209,1.098612289,2.451005098,2.104134154,2.312535424,0,1,0,0,0,0,0,0
221,1.386294361,2.517696473,2.116255515,2.360854001,0,0,0,1,0,0,0,0
230,1.386294361,2.549445171,2.186051277,2.397895273,0,0,0,1,0,0,0,0
228,1.386294361,2.541601993,2.174751721,2.388762789,0,0,0,1,0,0,0,0
237,1.386294361,2.557227311,2.2300144,2.424802726,0,0,0,1,0,0,0,0
202,1.098612289,2.415913778,2.079441542,2.282382386,0,1,0,0,0,0,0,0
209,1.098612289,2.451005098,2.104134154,2.312535424,0,1,0,0,0,0,0,0
232,1.386294361,2.557227311,2.197224577,2.406945108,0,0,0,1,0,0,0,0
246,1.386294361,2.602689685,2.261763098,2.459588842,0,0,0,1,0,0,0,0
281,1.686398954,2.734367509,2.360854001,2.58021683,0,0,0,0,1,0,0,0
292,1.686398954,2.772588722,2.379546134,2.617395833,0,0,0,0,1,0,0,0
232,1.386294361,2.557227311,2.197224577,2.406945108,0,0,0,1,0,0,0,0
292,1.686398954,2.772588722,2.379546134,2.617395833,0,0,0,0,1,0,0,0
