iteration,cost,bias
100,33267.17243915377,19.945205627837773
200,28538.08557144209,38.982361139269734
300,24333.146420792993,57.28776270010044
400,20612.66097194583,74.85623003596507
500,17338.889144832727,91.68162446863154
600,14475.491546671854,107.757040590898
700,11987.450138110215,123.07503589921276
800,9841.037334338958,137.62791390806183
900,8003.810670141466,151.40806890105694
1000,6444.631068606847,164.40839733395907
1500,1827.702056786178,217.56483162889594
2000,359.9537195186494,251.4255394804982
2500,51.556167731300114,268.9348797512808
3000,16.37148916456988,275.7143113608894
3500,11.037918868642668,277.5163853407752
4000,11.045381730043665,277.8134721189945
4500,10.980310763019121,277.84011145786883
5000,11.747677834212151,277.8412002717214
5500,11.476995639712138,277.8412161579204
6000,12.555455963197137,277.84121621618453
6500,11.445880131605884,277.84121621621495
7000,10.928455087872827,277.84121621621506
7500,10.931840353462752,277.8412162162153
8000,11.147296331242478,277.8412162162155
8500,10.890183689539754,277.8412162162157
9000,10.890533702035732,277.8412162162158
9500,10.878941184176218,277.84121621621586
