iteration,cost,bias
100,33267.17256223177,19.945205627837776
200,28538.08539298119,38.982361139269734
300,24333.146269854078,57.28776270010043
400,20612.66064688405,74.85623003596505
500,17338.888576476336,91.68162446863153
600,14475.49066657347,107.75704059089799
700,11987.448881252107,123.07503589921275
800,9841.035647560468,137.62791390806183
900,8003.808510098962,151.40806890105694
1000,6444.628395886025,164.40839733395907
2000,359.9720340066339,251.42553948049817
3000,39.68629993011522,275.7143113608894
4000,10.940809791620085,277.8134721189945
5000,12.452808410476894,277.84120027172133
6000,11.577457982731609,277.84121621618453
7000,14.400871347082257,277.841216216215
8000,10.84999061932678,277.84121621621546
