CO2 Emissions(g/km),Engine_Size_log,Fuel_City_log,Fuel_Hwy_log,Fuel_Comb_log,Cylinders_3,Cylinders_4,Cylinders_5,Cylinders_6,Cylinders_8,Cylinders_10,Cylinders_12,Cylinders_16
250,1.5260563034950492,2.9652730660692823,2.580216829592325,2.8094026953624978,0,0,0,1,0,0,0,0
264,1.5260563034950492,3.0155349008501706,2.6390573296152584,2.862200880929469,0,0,0,1,0,0,0,0
322,1.9740810260220096,3.190476350346503,2.8390784635086144,3.0492730404820207,0,0,0,0,1,0,0,0
354,1.9740810260220096,3.284663565406204,2.933856869835904,3.139832617527748,0,0,0,0,1,0,0,0
259,1.5260563034950492,2.9856819377004897,2.6461747973841225,2.8449093838194077,0,0,0,1,0,0,0,0
272,1.5260563034950492,3.0349529867072724,2.681021528714291,2.8903717578961645,0,0,0,1,0,0,0,0
334,1.840549633397487,3.198673117550681,2.928523523860541,3.086486636822455,0,0,0,0,1,0,0,0
344,1.840549633397487,3.2068032436339315,2.9856819377004897,3.1135153092103742,0,0,0,0,1,0,0,0
344,1.840549633397487,3.214867803470662,2.970414465569701,3.1135153092103742,0,0,0,0,1,0,0,0
362,1.840549633397487,3.269568939183719,3.0106208860477417,3.1612467120315646,0,0,0,0,1,0,0,0
344,1.840549633397487,3.214867803470662,2.970414465569701,3.1135153092103742,0,0,0,0,1,0,0,0
362,1.840549633397487,3.269568939183719,3.0106208860477417,3.1612467120315646,0,0,0,0,1,0,0,0
411,1.9459101490553128,3.4339872044851463,3.0633909220278057,3.284663565406204,0,0,0,0,1,0,0,0
413,1.9459101490553128,3.4404180948154366,3.068052935133617,3.288401887516811,0,0,0,0,1,0,0,0
229,1.5260563034950492,2.873564639579784,2.509599262378372,2.727852828,0,0,0,1,0,0,0,0
269,1.667706820558076,2.990719731730447,2.7212954278522306,2.87919845729804,0,0,0,1,0,0,0,0
270,1.840549633397487,3.0204248861443626,2.6878474937846906,2.884800712846709,0,0,0,0,1,0,0,0
285,1.667706820558076,3.044522437723423,2.778819271990417,2.933856869835904,0,0,0,1,0,0,0,0
277,1.840549633397487,3.039749158970765,2.7212954278522306,2.9069010598473755,0,0,0,0,1,0,0,0
294,1.840549633397487,3.1135153092103742,2.747270914255491,2.9652730660692823,0,0,0,0,1,0,0,0
294,1.840549633397487,3.1135153092103742,2.747270914255491,2.9652730660692823,0,0,0,0,1,0,0,0
294,1.840549633397487,3.1135153092103742,2.747270914255491,2.9652730660692823,0,0,0,0,1,0,0,0
294,1.840549633397487,3.1135153092103742,2.747270914255491,2.9652730660692823,0,0,0,0,1,0,0,0
230,1.5260563034950492,2.8903717578961645,2.501435951739211,2.734367509419584,0,0,0,1,0,0,0,0
230,1.5260563034950492,2.8903717578961645,2.501435951739211,2.734367509419584,0,0,0,1,0,0,0,0
237,1.5260563034950492,2.9069010598473755,2.5416019934645457,2.760009940032921,0,0,0,1,0,0,0,0
222,1.5260563034950492,2.87919845729804,2.424802725718295,2.7013612129514133,0,0,0,1,0,0,0,0
269,1.5260563034950492,3.030133700271324,2.660259537265861,2.87919845729804,0,0,0,1,0,0,0,0
230,1.5260563034950492,2.8903717578961645,2.501435951739211,2.734367509419584,0,0,0,1,0,0,0,0
237,1.5260563034950492,2.9069010598473755,2.5416019934645457,2.760009940032921,0,0,0,1,0,0,0,0
251,1.5260563034950492,2.96010509591084,2.6100697927420065,2.815408719422709,0,0,0,1,0,0,0,0
222,1.5260563034950492,2.87919845729804,2.424802725718295,2.7013612129514133,0,0,0,1,0,0,0,0
195,1.0986122886681098,2.7212954278522306,2.379546134130174,2.580216829592325,0,1,0,0,0,0,0,0
250,1.5260563034950492,2.928523523860541,2.6390573296152584,2.8094026953624978,0,0,0,1,0,0,0,0
264,1.5260563034950492,3.005682604407159,2.6461747973841225,2.862200880929469,0,0,0,1,0,0,0,0
259,1.5260563034950492,2.990719731730447,2.631888840136646,2.8449093838194077,0,0,0,1,0,0,0,0
350,1.7227665977411035,3.2228678461377385,3.005682604407159,3.131136910560194,0,0,0,0,1,0,0,0
360,1.8562979903656265,3.254242968705492,3.025291075795536,3.157000421150113,0,0,0,0,1,0,0,0
368,1.7227665977411035,3.277144732992177,3.044522437723423,3.1780538303479458,0,0,0,0,1,0,0,0
382,1.8562979903656265,3.3214324131932926,3.068052935133617,3.214867803470662,0,0,0,0,1,0,0,0
346,1.8562979903656265,3.2386784521643803,2.9444389791664403,3.1179499062782403,0,0,0,0,1,0,0,0
254,1.5040773967762742,2.96010509591084,2.631888840136646,2.827313621929028,0,0,0,1,0,0,0,0
267,1.5040773967762742,2.990719731730447,2.7013612129514133,2.873564639579784,0,0,0,1,0,0,0,0
264,1.547562508716013,2.9856819377004897,2.6878474937846906,2.862200880929469,0,0,0,1,0,0,0,0
264,1.547562508716013,2.9856819377004897,2.6878474937846906,2.862200880929469,0,0,0,1,0,0,0,0
315,1.791759469228055,3.139832617527748,2.873564639579784,3.030133700271324,0,0,0,0,1,0,0,0
315,1.791759469228055,3.139832617527748,2.873564639579784,3.030133700271324,0,0,0,0,1,0,0,0
288,1.547562508716013,3.054001181677967,2.791165107812717,2.9444389791664403,0,0,0,1,0,0,0,0
288,1.547562508716013,3.054001181677967,2.791165107812717,2.9444389791664403,0,0,0,1,0,0,0,0
320,1.791759469228055,3.152736022363656,2.8903717578961645,3.044522437723423,0,0,0,0,1,0,0,0
318,1.791759469228055,3.152736022363656,2.884800712846709,3.039749158970765,0,0,0,0,1,0,0,0
165,1.0986122886681098,2.5416019934645457,2.2512917986064958,2.424802725718295,0,1,0,0,0,0,0,0
165,1.0986122886681098,2.5416019934645457,2.2512917986064958,2.424802725718295,0,1,0,0,0,0,0,0
170,1.0986122886681098,2.5572273113676265,2.2925347571405443,2.451005098112319,0,1,0,0,0,0,0,0
162,1.0986122886681098,2.533696813957432,2.2300144001592104,2.4069451083182885,0,1,0,0,0,0,0,0
229,1.5040773967762742,2.8903717578961645,2.4932054526026954,2.727852828,0,0,0,1,0,0,0,0
