iteration,cost,bias
100,0.42876174922221594,-0.5030291547548793
200,0.38951308882916086,-0.6227592806925683
300,0.37947502155506585,-0.6204904067550214
400,0.3745777997980771,-0.5970395872930855
500,0.37157305912716393,-0.5871106531744767
600,0.3694994716404442,-0.5852276188355953
700,0.36795809660805406,-0.5873251592077083
800,0.3667530690824709,-0.5913395770133412
900,0.36577451711779063,-0.5961737158079349
1000,0.3649563518348235,-0.6012664896438488
1500,0.36218880005477333,-0.6236799955309089
2000,0.36041983742003453,-0.6354037039769557
2500,0.35905154833869235,-0.6376649605001613
3000,0.3579666537471021,-0.6348503792141273
3500,0.35714988067745557,-0.6303291881704611
